Node Failure (%),Message Overhead,Algorithms
0.0,900.0,RAFT
0.0,270.0,Plebi 0.3 prob topology
0.0,547.0,Plebi 0.5 prob topology
0.0,2106.0,Plebi 0.7 prob topology
0.0,2408.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,304.0,Plebi 0.3 prob topology
0.0,693.0,Plebi 0.5 prob topology
0.0,2322.0,Plebi 0.7 prob topology
0.0,3466.0,Plebi 0.9 prob topology
0.0,864.0,RAFT
0.0,294.0,Plebi 0.3 prob topology
0.0,817.0,Plebi 0.5 prob topology
0.0,2196.0,Plebi 0.7 prob topology
0.0,2571.0,Plebi 0.9 prob topology
0.0,854.0,RAFT
0.0,259.0,Plebi 0.3 prob topology
0.0,745.0,Plebi 0.5 prob topology
0.0,2240.0,Plebi 0.7 prob topology
0.0,2864.0,Plebi 0.9 prob topology
0.0,846.0,RAFT
0.0,302.0,Plebi 0.3 prob topology
0.0,495.0,Plebi 0.5 prob topology
0.0,2251.0,Plebi 0.7 prob topology
0.0,2351.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,317.0,Plebi 0.3 prob topology
0.0,538.0,Plebi 0.5 prob topology
0.0,1411.0,Plebi 0.7 prob topology
0.0,3304.0,Plebi 0.9 prob topology
0.0,846.0,RAFT
0.0,395.0,Plebi 0.3 prob topology
0.0,667.0,Plebi 0.5 prob topology
0.0,1645.0,Plebi 0.7 prob topology
0.0,2382.0,Plebi 0.9 prob topology
0.0,883.0,RAFT
0.0,293.0,Plebi 0.3 prob topology
0.0,590.0,Plebi 0.5 prob topology
0.0,1385.0,Plebi 0.7 prob topology
0.0,2528.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,282.0,Plebi 0.3 prob topology
0.0,598.0,Plebi 0.5 prob topology
0.0,1826.0,Plebi 0.7 prob topology
0.0,2284.0,Plebi 0.9 prob topology
0.0,828.0,RAFT
0.0,275.0,Plebi 0.3 prob topology
0.0,504.0,Plebi 0.5 prob topology
0.0,1482.0,Plebi 0.7 prob topology
0.0,2346.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,238.0,Plebi 0.3 prob topology
0.0,506.0,Plebi 0.5 prob topology
0.0,1417.0,Plebi 0.7 prob topology
0.0,2648.0,Plebi 0.9 prob topology
0.0,882.0,RAFT
0.0,257.0,Plebi 0.3 prob topology
0.0,485.0,Plebi 0.5 prob topology
0.0,1621.0,Plebi 0.7 prob topology
0.0,3386.0,Plebi 0.9 prob topology
0.0,872.0,RAFT
0.0,285.0,Plebi 0.3 prob topology
0.0,508.0,Plebi 0.5 prob topology
0.0,1423.0,Plebi 0.7 prob topology
0.0,2272.0,Plebi 0.9 prob topology
0.0,864.0,RAFT
0.0,309.0,Plebi 0.3 prob topology
0.0,469.0,Plebi 0.5 prob topology
0.0,1344.0,Plebi 0.7 prob topology
0.0,3274.0,Plebi 0.9 prob topology
0.0,864.0,RAFT
0.0,275.0,Plebi 0.3 prob topology
0.0,484.0,Plebi 0.5 prob topology
0.0,1479.0,Plebi 0.7 prob topology
0.0,2734.0,Plebi 0.9 prob topology
0.0,846.0,RAFT
0.0,301.0,Plebi 0.3 prob topology
